GEO_ID,NAME,DP04_0126E,DP04_0129E,DP04_0130E,DP04_0131E,DP04_0132E,DP04_0133E,DP04_0128E,DP04_0127E,DP04_0134E,DP04_0135E,DP04_0088E,DP04_0083E,DP04_0084E,DP04_0085E,DP04_0086E,DP04_0082E,DP04_0087E,DP04_0081E,DP04_0089E,DP04_0126PE,DP04_0129PE,DP04_0130PE,DP04_0131PE,DP04_0132PE,DP04_0133PE,DP04_0128PE,DP04_0127PE,DP04_0088PE,DP04_0083PE,DP04_0084PE,DP04_0085PE,DP04_0086PE,DP04_0082PE,DP04_0087PE,DP04_0081PE
1400000US19183960500,Census Tract 9605; Washington County; Iowa,184,22,29,0,0,0,105,28,783,70,15,261,58,259,106,115,88,65,191900,184,12,15.8,0,0,0,57.1,15.2,1.6,27,6,26.8,11,11.9,9.1,6.7
1400000US19185070100,Census Tract 701; Wayne County; Iowa,237,24,4,0,0,2,157,50,716,48,6,183,47,71,23,264,45,150,96300,237,10.1,1.7,0,0,0.8,66.2,21.1,0.8,23.2,6,9,2.9,33.5,5.7,19
1400000US19185070200,Census Tract 702; Wayne County; Iowa,79,8,0,0,0,0,49,22,534,38,10,101,71,47,21,184,24,110,97700,79,10.1,0,0,0,0,62,27.8,1.8,17.8,12.5,8.3,3.7,32.4,4.2,19.4
1400000US19185070300,Census Tract 703; Wayne County; Iowa,95,0,0,0,0,0,77,18,576,13,2,101,40,101,68,185,34,133,104500,95,0,0,0,0,0,81.1,18.9,0.3,15.2,6,15.2,10.2,27.9,5.1,20
1400000US19187000101,Census Tract 1.01; Webster County; Iowa,156,76,0,0,0,0,55,25,971,30,0,444,438,263,330,192,55,0,181500,156,48.7,0,0,0,0,35.3,16,0,25.8,25.4,15.3,19.2,11.1,3.2,0
1400000US19187000102,Census Tract 1.02; Webster County; Iowa,912,140,54,0,0,0,595,123,726,77,0,77,246,87,10,76,0,21,166300,912,15.4,5.9,0,0,0,65.2,13.5,0,14.9,47.6,16.8,1.9,14.7,0,4.1
1400000US19187000200,Census Tract 2; Webster County; Iowa,344,72,167,0,0,0,69,36,1446,0,11,204,270,178,132,201,10,214,148400,344,20.9,48.5,0,0,0,20.1,10.5,0.9,16.7,22.1,14.6,10.8,16.5,0.8,17.5
1400000US19187000300,Census Tract 3; Webster County; Iowa,114,28,15,0,0,0,71,0,827,11,0,38,58,58,22,142,9,171,73100,114,24.6,13.2,0,0,0,62.3,0,0,7.6,11.6,11.6,4.4,28.5,1.8,34.3
1400000US19187000400,Census Tract 4; Webster County; Iowa,340,34,0,0,0,0,301,5,717,15,0,84,113,43,37,204,6,24,119100,340,10,0,0,0,0,88.5,1.5,0,16.4,22.1,8.4,7.2,39.9,1.2,4.7
1400000US19187000500,Census Tract 5; Webster County; Iowa,228,122,0,0,0,0,102,4,1016,10,5,93,75,52,13,161,8,89,98900,228,53.5,0,0,0,0,44.7,1.8,1,18.8,15.1,10.5,2.6,32.5,1.6,17.9
1400000US19187000600,Census Tract 6; Webster County; Iowa,657,128,0,0,0,0,484,45,770,20,0,220,78,35,6,860,0,140,81400,657,19.5,0,0,0,0,73.7,6.8,0,16.4,5.8,2.6,0.4,64.2,0,10.5
1400000US19187000700,Census Tract 7; Webster County; Iowa,694,38,0,0,0,0,416,240,544,8,0,21,95,6,18,50,0,54,145300,694,5.5,0,0,0,0,59.9,34.6,0,8.6,38.9,2.5,7.4,20.5,0,22.1
1400000US19187000900,Census Tract 9; Webster County; Iowa,405,27,11,9,0,8,340,10,854,12,10,175,138,108,32,296,0,73,116800,405,6.7,2.7,2.2,0,2,84,2.5,1.2,21,16.6,13,3.8,35.6,0,8.8
1400000US19187010100,Census Tract 101; Webster County; Iowa,146,4,0,0,0,0,115,27,641,44,1,166,142,96,113,153,30,42,155000,146,2.7,0,0,0,0,78.8,18.5,0.1,22.3,19.1,12.9,15.2,20.6,4,5.7
1400000US19187010200,Census Tract 102; Webster County; Iowa,40,6,12,0,0,0,14,8,-,2,13,82,115,149,105,77,44,21,204700,40,15,30,0,0,0,35,20,2.1,13.5,19,24.6,17.3,12.7,7.3,3.5
1400000US19187010300,Census Tract 103; Webster County; Iowa,160,35,0,0,0,0,77,48,660,26,6,212,153,179,72,263,30,183,128400,160,21.9,0,0,0,0,48.1,30,0.5,19.3,13.9,16.3,6.6,24,2.7,16.7
1400000US19187010400,Census Tract 104; Webster County; Iowa,225,31,0,0,0,0,107,87,577,48,0,192,102,151,56,320,14,197,99800,225,13.8,0,0,0,0,47.6,38.7,0,18.6,9.9,14.6,5.4,31,1.4,19.1
1400000US19189680100,Census Tract 6801; Winnebago County; Iowa,393,11,5,0,0,6,284,87,679,32,0,279,195,227,159,386,18,52,140700,393,2.8,1.3,0,0,1.5,72.3,22.1,0,21.2,14.8,17.2,12.1,29.3,1.4,4
1400000US19189680200,Census Tract 6802; Winnebago County; Iowa,218,4,0,3,0,0,173,38,641,33,0,299,77,60,12,313,21,171,99300,218,1.8,0,1.4,0,0,79.4,17.4,0,31.4,8.1,6.3,1.3,32.8,2.2,17.9
1400000US19189680300,Census Tract 6803; Winnebago County; Iowa,424,48,0,0,0,0,293,83,689,11,12,317,220,139,93,309,0,41,134400,424,11.3,0,0,0,0,69.1,19.6,1.1,28,19.5,12.3,8.2,27.3,0,3.6
