GEO_ID,NAME,DP05_0089E,DP05_0091E,DP05_0090E,DP05_0073E,DP05_0078E,DP05_0081E,DP05_0082E,DP05_0080E,DP05_0083E,DP05_0084E,DP05_0085E,DP05_0087E,DP05_0086E,DP05_0079E,DP05_0001E,DP05_0007E,DP05_0008E,DP05_0009E,DP05_0010E,DP05_0011E,DP05_0012E,DP05_0006E,DP05_0013E,DP05_0014E,DP05_0015E,DP05_0016E,DP05_0017E,DP05_0003E,DP05_0002E,DP05_0018E,DP05_0005E,DP05_0089PE,DP05_0091PE,DP05_0090PE,DP05_0073PE,DP05_0078PE,DP05_0081PE,DP05_0082PE,DP05_0080PE,DP05_0083PE,DP05_0084PE,DP05_0085PE,DP05_0087PE,DP05_0086PE,DP05_0079PE,DP05_0001PE,DP05_0007PE,DP05_0008PE,DP05_0009PE,DP05_0010PE,DP05_0011PE,DP05_0012PE,DP05_0006PE,DP05_0013PE,DP05_0014PE,DP05_0015PE,DP05_0016PE,DP05_0003PE,DP05_0002PE,DP05_0005PE
1400000US19013001701,Census Tract 17.01; Black Hawk County; Iowa,1313,658,655,108,1682,0,0,967,0,0,25,25,0,690,1790,114,131,229,226,263,168,109,73,177,132,41,32,945,845,33.6,95,1313,50.1,49.9,6,94,0,0,54,0,0,1.4,1.4,0,38.5,1790,6.4,7.3,12.8,12.6,14.7,9.4,6.1,4.1,9.9,7.4,2.3,52.8,47.2,5.3
1400000US19013001702,Census Tract 17.02; Black Hawk County; Iowa,1589,722,867,161,2175,0,58,859,0,0,205,205,0,1053,2336,216,231,189,177,338,237,109,135,137,288,118,25,970,1366,39.3,136,1589,45.4,54.6,6.9,93.1,0,2.5,36.8,0,0,8.8,8.8,0,45.1,2336,9.2,9.9,8.1,7.6,14.5,10.1,4.7,5.8,5.9,12.3,5.1,41.5,58.5,5.8
1400000US19013001800,Census Tract 18; Black Hawk County; Iowa,1160,756,404,36,1560,1,0,1300,0,0,18,18,0,241,1596,157,111,49,159,294,169,95,93,154,102,39,31,1046,550,40.5,143,1160,65.2,34.8,2.3,97.7,0.1,0,81.5,0,0,1.1,1.1,0,15.1,1596,9.8,7,3.1,10,18.4,10.6,6,5.8,9.6,6.4,2.4,65.5,34.5,9
1400000US19013001900,Census Tract 19; Black Hawk County; Iowa,1283,631,652,189,1573,0,7,576,64,0,103,103,0,823,1762,92,102,90,256,174,190,133,77,171,262,32,51,857,905,37.7,132,1283,49.2,50.8,10.7,89.3,0,0.4,32.7,3.6,0,5.8,5.8,0,46.7,1762,5.2,5.8,5.1,14.5,9.9,10.8,7.5,4.4,9.7,14.9,1.8,48.6,51.4,7.5
1400000US19013002000,Census Tract 20; Black Hawk County; Iowa,4005,1880,2125,63,5035,0,0,239,0,0,243,111,132,4553,5098,369,471,312,613,559,674,246,242,445,769,165,71,2479,2619,42.7,162,4005,46.9,53.1,1.2,98.8,0,0,4.7,0,0,4.8,2.2,2.6,89.3,5098,7.2,9.2,6.1,12,11,13.2,4.8,4.7,8.7,15.1,3.2,48.6,51.4,3.2
1400000US19013002200,Census Tract 22; Black Hawk County; Iowa,3177,1468,1709,118,3675,5,8,13,0,0,43,0,43,3606,3793,150,120,563,534,339,332,170,284,356,349,221,162,1792,2001,38.4,213,3177,46.2,53.8,3.1,96.9,0.1,0.2,0.3,0,0,1.1,0,1.1,95.1,3793,4,3.2,14.8,14.1,8.9,8.8,4.5,7.5,9.4,9.2,5.8,47.2,52.8,5.6
1400000US19013002301,Census Tract 23.01; Black Hawk County; Iowa,1874,1052,822,23,2336,0,126,94,0,0,120,107,13,1996,2359,116,114,800,265,282,225,75,66,49,127,64,12,1308,1051,23.9,164,1874,56.1,43.9,1,99,0,5.3,4,0,0,5.1,4.5,0.6,84.6,2359,4.9,4.8,33.9,11.2,12,9.5,3.2,2.8,2.1,5.4,2.7,55.4,44.6,7
1400000US19013002303,Census Tract 23.03; Black Hawk County; Iowa,3848,2569,1279,203,3782,20,191,64,0,0,97,97,0,3410,3985,0,1914,1777,154,29,45,0,25,12,17,6,6,2628,1357,20.1,0,3848,66.8,33.2,5.1,94.9,0.5,4.8,1.6,0,0,2.4,2.4,0,85.6,3985,0,48,44.6,3.9,0.7,1.1,0,0.6,0.3,0.4,0.2,65.9,34.1,0
1400000US19013002304,Census Tract 23.04; Black Hawk County; Iowa,2554,955,1599,57,2678,0,52,152,0,0,123,123,0,2351,2735,20,208,1435,332,80,52,34,129,40,277,26,39,1091,1644,22.7,63,2554,37.4,62.6,2.1,97.9,0,1.9,5.6,0,0,4.5,4.5,0,86,2735,0.7,7.6,52.5,12.1,2.9,1.9,1.2,4.7,1.5,10.1,1,39.9,60.1,2.3
1400000US19013002400,Census Tract 24; Black Hawk County; Iowa,3080,1480,1600,82,3804,0,61,33,0,17,138,107,31,3555,3886,159,146,279,689,460,438,201,215,323,381,222,123,1872,2014,38.4,250,3080,48.1,51.9,2.1,97.9,0,1.6,0.8,0,0.4,3.6,2.8,0.8,91.5,3886,4.1,3.8,7.2,17.7,11.8,11.3,5.2,5.5,8.3,9.8,5.7,48.2,51.8,6.4
