GEO_ID,NAME,DP02_0124E,DP02_0059E,DP02_0061E,DP02_0064E,DP02_0065E,DP02_0068E,DP02_0066E,DP02_0062E,DP02_0067E,DP02_0060E,DP02_0063E,DP02_0001E,DP02_0017E,DP02_0016E,DP02_0004E,DP02_0010E,DP02_0015E,DP02_0006E,DP02_0002E,DP02_0081E,DP02_0087E,DP02_0082E,DP02_0084E,DP02_0086E,DP02_0085E,DP02_0083E,DP02_0080E,DP02_0059PE,DP02_0061PE,DP02_0064PE,DP02_0065PE,DP02_0068PE,DP02_0066PE,DP02_0062PE,DP02_0067PE,DP02_0060PE,DP02_0063PE,DP02_0004PE,DP02_0010PE,DP02_0015PE,DP02_0006PE,DP02_0002PE,DP02_0079PE,DP02_0081PE,DP02_0087PE,DP02_0082PE,DP02_0084PE,DP02_0086PE,DP02_0085PE,DP02_0083PE,DP02_0080PE
1400000US19127950300,Census Tract 9503; Marshall County; Iowa,3547,2486,59,412,462,597,135,792,2424,3,623,1398,2.96,2.48,71,140,373,317,870,205,0,205,102,36,66,103,3330,2486,2.4,16.6,18.6,24,5.4,31.9,97.5,0.1,25.1,5.1,10,26.7,22.7,62.2,3535,5.8,0,5.8,2.9,1,1.9,2.9,94.2
1400000US19127950400,Census Tract 9504; Marshall County; Iowa,2887,2040,38,262,481,605,124,718,1966,36,381,1309,2.79,2.2,132,325,461,275,577,223,0,223,76,0,76,147,2620,2040,1.9,12.8,23.6,29.7,6.1,35.2,96.4,1.8,18.7,10.1,24.8,35.2,21,44.1,2843,7.8,0,7.8,2.7,0,2.7,5.2,92.2
1400000US19127950500,Census Tract 9505; Marshall County; Iowa,4141,2365,183,265,79,92,13,651,1573,609,565,1402,3.86,2.95,28,311,251,323,740,359,0,359,47,21,26,312,3726,2365,7.7,11.2,3.3,3.9,0.5,27.5,66.5,25.8,23.9,2,22.2,17.9,23,52.8,4085,8.8,0,8.8,1.2,0.5,0.6,7.6,91.2
1400000US19127950600,Census Tract 9506; Marshall County; Iowa,4476,2913,226,270,295,441,146,937,2048,639,400,1830,3.41,2.44,246,570,442,346,668,621,22,599,186,53,133,413,3827,2913,7.8,9.3,10.1,15.1,5,32.2,70.3,21.9,13.7,13.4,31.1,24.2,18.9,36.5,4448,14,0.5,13.5,4.2,1.2,3,9.3,86
1400000US19127950700,Census Tract 9507; Marshall County; Iowa,4904,3406,246,323,480,762,282,1180,2858,302,593,1640,3.1,2.45,130,337,509,373,800,486,98,388,238,39,199,150,4405,3406,7.2,9.5,14.1,22.4,8.3,34.6,83.9,8.9,17.4,7.9,20.5,31,22.7,48.8,4891,9.9,2,7.9,4.9,0.8,4.1,3.1,90.1
1400000US19127950801,Census Tract 9508.01; Marshall County; Iowa,3192,2270,115,253,433,572,139,853,2037,118,359,1347,2.97,2.23,0,374,584,273,700,172,43,129,69,11,58,60,2935,2270,5.1,11.1,19.1,25.2,6.1,37.6,89.7,5.2,15.8,0,27.8,43.4,20.3,52,3107,5.5,1.4,4.2,2.2,0.4,1.9,1.9,94.5
1400000US19127950802,Census Tract 9508.02; Marshall County; Iowa,3163,2170,62,234,359,563,204,618,1903,205,488,1209,2.89,2.6,71,168,277,120,850,405,0,405,215,50,165,190,2717,2170,2.9,10.8,16.5,25.9,9.4,28.5,87.7,9.4,22.5,5.9,13.9,22.9,9.9,70.3,3122,13,0,13,6.9,1.6,5.3,6.1,87
1400000US19127950900,Census Tract 9509; Marshall County; Iowa,3733,1905,296,168,168,207,39,577,1450,159,498,1106,4.15,3.36,197,124,264,282,503,611,103,508,141,28,113,367,3024,1905,15.5,8.8,8.8,10.9,2,30.3,76.1,8.3,26.1,17.8,11.2,23.9,25.5,45.5,3635,16.8,2.8,14,3.9,0.8,3.1,10.1,83.2
1400000US19127951000,Census Tract 9510; Marshall County; Iowa,4202,2614,146,224,448,729,281,782,2203,265,468,1588,3.21,2.5,115,467,459,181,825,475,8,467,257,32,225,210,3716,2614,5.6,8.6,17.1,27.9,10.7,29.9,84.3,10.1,17.9,7.2,29.4,28.9,11.4,52,4191,11.3,0.2,11.1,6.1,0.8,5.4,5,88.7
1400000US19129040100,Census Tract 401; Mills County; Iowa,2929,2022,160,333,389,486,97,598,1821,41,404,1076,3.37,2.67,44,235,393,186,611,457,5,452,390,101,289,62,2463,2022,7.9,16.5,19.2,24,4.8,29.6,90.1,2,20,4.1,21.8,36.5,17.3,56.8,2920,15.7,0.2,15.5,13.4,3.5,9.9,2.1,84.3
